11853,25296,5644,6598,13745,16304,19164,22511,37321,16077,19452,9749,13345,1655,13796,26069,19411,6625,21030,149,12925,21891,13608,22335,11312,21276,22462,24760,1181,9544,34997,22103,16676,6936,7829,14126,22509,15710,17583,17676,14316,41924,16776,24290,5261,15076,12475,15227
8190,17396,7802,10677,3096,8404,11264,14611,14506,8177,9618,4521,8739,11035,5896,18169,11511,7946,13130,12912,296,13991,5708,14435,1980,13376,14562,16860,9982,6038,24348,14203,6027,6352,5287,6226,14609,7810,9683,9776,6416,17901,9468,16390,9809,4427,4575,7327
23241,3208,23497,21556,15923,9141,9236,1997,7913,11796,8789,15776,12358,22224,13976,3981,6768,23641,5270,24163,16273,101,12157,2156,14667,8552,4993,1370,25677,21733,18638,9379,12180,17607,16542,10181,3779,9832,8026,4515,12865,4963,13087,1935,20998,13816,14256,11703
13306,18086,12918,10991,8212,4288,9863,10495,10390,4061,5502,5211,4623,11659,6586,14729,7395,10739,13820,13598,5708,14681,237,10319,4102,14066,10446,17550,15098,9978,29464,14893,8376,7042,5977,2110,15299,8500,5567,10466,2300,13785,5352,17080,10433,9543,3691,8017
21403,7357,21659,19718,14085,7303,7398,494,6075,9958,6951,13938,10520,20386,12138,4534,4930,21803,9419,22325,14435,7849,10319,124,12829,12701,3620,6821,23839,19895,22787,13528,10342,15769,14704,8343,7928,7994,6188,12432,11027,3590,11249,9775,19160,11978,12418,9983
9578,15790,9190,8695,4484,6798,9658,13005,12900,6571,8012,2915,7133,9363,4290,16563,9905,9334,11524,11302,1980,12385,4102,12829,187,11770,12956,15254,11370,7426,25736,12597,6080,4746,3681,4620,13003,6204,8077,8170,4810,16295,7862,14784,11197,5815,2969,5721
19687,8060,19943,18659,12369,15481,12204,13071,16103,16535,17976,12879,17097,19327,10422,8833,12744,20087,3794,21266,13376,9593,14066,12701,11770,101,12948,7524,22123,18179,12718,2153,8626,14710,13645,14584,5273,8750,14366,5218,13053,12465,17826,7054,18101,10262,11983,7191
21530,7604,21786,19845,14212,7430,7525,3990,3320,10085,6068,14065,10647,20513,12265,4781,5057,21930,9666,22452,14562,8096,10446,3620,12956,12948,149,7068,23966,20022,23034,13775,10469,15896,14831,8470,8175,8121,6315,12559,11154,3837,11376,10022,19287,12105,12545,10110
23171,2180,23427,22143,15853,14000,14095,7191,10239,16655,12987,16363,17217,22811,13906,2953,11627,23571,4242,24750,16860,1370,17550,6821,15254,7524,7068,171,25607,21663,17610,8351,12110,18194,17129,15040,2751,12234,12885,8702,16537,6585,17946,4598,21585,13746,15467,10675
8838,26149,3502,8926,10808,17800,20017,24021,38651,17573,19014,10825,14421,6425,15292,26922,20557,4974,21883,1181,9988,22744,15104,23845,11376,22129,23972,25613,99,6988,32060,22956,13739,8686,8905,15622,23362,16563,19079,18529,15812,43254,16784,25143,7589,12139,13971,16080
6371,22208,4801,7309,6867,12674,16076,20080,19975,12447,14754,6119,9715,7667,10166,22981,16616,4578,17942,9544,6047,18803,9978,19904,7435,18188,20031,21672,6981,65,28119,19015,9798,3980,4199,10496,19421,12622,13953,14588,10686,23370,12078,21202,6441,8198,8845,12139
